,satisfaction_level,number_project,average_montly_hours,time_spend_company,Work_accident,left,salary
0,0.38,2,157,3,0,1,1
1,0.8,5,262,6,0,1,2
2,0.11,7,272,4,0,1,2
3,0.72,5,223,5,0,1,1
4,0.37,2,159,3,0,1,1
5,0.41,2,153,3,0,1,1
6,0.1,6,247,4,0,1,1
7,0.92,5,259,5,0,1,1
8,0.89,5,224,5,0,1,1
9,0.42,2,142,3,0,1,1
10,0.45,2,135,3,0,1,1
11,0.11,6,305,4,0,1,1
12,0.84,4,234,5,0,1,1
13,0.41,2,148,3,0,1,1
14,0.36,2,137,3,0,1,1
15,0.38,2,143,3,0,1,1
16,0.45,2,160,3,0,1,1
17,0.78,4,255,6,0,1,1
18,0.45,2,160,3,1,1,1
19,0.76,5,262,5,0,1,1
20,0.11,6,282,4,0,1,1
21,0.38,2,147,3,0,1,1
22,0.09,6,304,4,0,1,1
23,0.46,2,139,3,0,1,1
24,0.4,2,158,3,0,1,1
25,0.89,5,242,5,0,1,1
26,0.82,4,239,5,0,1,1
27,0.4,2,135,3,0,1,1
28,0.41,2,128,3,0,1,1
29,0.38,2,132,3,0,1,1
30,0.09,6,294,4,0,1,1
31,0.45,2,134,3,0,1,1
32,0.4,2,145,3,0,1,1
33,0.45,2,140,3,0,1,1
34,0.84,4,246,6,0,1,1
35,0.1,6,255,4,0,1,1
36,0.38,2,137,3,0,1,1
37,0.45,2,126,3,0,1,1
38,0.11,6,306,4,0,1,1
39,0.41,2,152,3,0,1,1
40,0.87,5,269,5,0,1,1
41,0.45,2,158,3,0,1,1
42,0.4,2,127,3,0,1,1
43,0.1,7,281,4,0,1,1
44,0.09,6,276,4,0,1,1
45,0.84,3,182,4,0,1,1
46,0.4,2,147,3,0,1,1
47,0.57,3,273,6,0,1,1
48,0.4,2,148,3,0,1,1
49,0.43,2,147,3,0,1,1
50,0.13,6,152,2,0,1,1
51,0.44,2,135,3,0,1,1
52,0.38,2,134,3,0,1,1
53,0.39,2,132,3,0,1,1
54,0.1,7,307,4,0,1,1
55,0.37,2,140,3,0,1,1
56,0.11,7,255,4,0,1,1
57,0.1,6,309,4,0,1,1
58,0.38,2,128,3,0,1,1
59,0.85,4,225,5,0,1,1
60,0.85,5,226,5,0,1,2
61,0.11,7,308,4,0,1,2
62,0.1,6,244,5,0,1,2
63,0.36,2,132,3,0,1,2
64,0.11,6,286,4,0,1,2
65,0.81,6,161,4,0,1,2
66,0.43,2,153,3,0,1,2
67,0.9,4,264,6,0,1,2
68,0.76,5,223,5,1,1,2
69,0.43,2,135,3,0,1,2
70,0.74,2,277,3,0,1,2
71,0.09,5,275,4,0,1,2
72,0.45,2,149,3,0,1,0
73,0.09,7,295,4,0,1,1
74,0.11,6,277,4,0,1,2
75,0.11,7,306,4,0,1,2
76,0.1,6,295,4,0,1,2
77,0.4,2,137,3,0,1,2
78,0.43,2,157,3,0,1,1
79,0.39,2,142,3,0,1,1
80,0.45,2,140,3,0,1,1
81,0.38,2,151,3,0,1,1
82,0.79,4,139,3,0,1,1
83,0.84,4,249,6,0,1,1
84,0.11,6,291,4,0,1,1
85,0.11,6,305,4,0,1,1
86,0.17,5,232,3,0,1,1
87,0.44,2,132,3,0,1,1
88,0.37,2,130,3,0,1,1
89,0.1,6,291,4,0,1,1
90,0.4,2,130,3,0,1,1
91,0.89,5,246,5,0,1,1
92,0.42,2,143,3,0,1,1
93,0.46,2,129,3,0,1,1
94,0.09,6,255,4,0,1,1
95,0.37,2,155,3,0,1,1
96,0.1,6,265,4,0,1,1
97,0.1,6,279,4,0,1,1
98,0.11,6,284,4,0,1,1
99,0.9,5,221,6,0,1,2
100,0.38,2,154,3,0,1,2
101,0.36,2,147,3,0,1,2
102,0.42,2,150,3,0,1,2
103,0.09,7,267,4,0,1,2
104,0.43,2,158,3,0,1,2
105,0.24,7,224,5,0,1,2
106,0.91,4,257,5,0,1,2
107,0.44,2,148,3,0,1,2
108,0.71,3,177,4,0,1,2
109,0.4,2,155,3,0,1,2
110,0.43,2,144,3,0,1,2
111,0.09,6,289,4,0,1,0
112,0.43,2,160,3,0,1,1
113,0.9,4,258,5,0,1,2
114,0.84,5,234,5,0,1,2
115,0.37,2,137,3,0,1,2
116,0.86,5,263,2,0,1,2
117,0.11,6,251,4,0,1,1
118,0.37,2,133,3,0,1,1
119,0.4,2,132,3,0,1,1
120,0.14,4,158,4,1,1,1
121,0.4,2,135,3,0,1,1
122,0.75,4,216,6,0,1,1
123,0.11,6,300,5,1,1,1
124,0.46,2,138,3,0,1,1
125,0.11,6,260,4,0,1,1
126,0.38,2,132,3,0,1,1
127,0.7,3,183,5,0,1,1
128,0.09,6,250,4,0,1,1
129,0.37,2,151,3,0,1,1
130,0.1,6,292,4,0,1,1
131,0.38,2,140,3,0,1,1
132,0.9,5,221,5,0,1,1
133,0.44,2,138,3,0,1,1
134,0.36,2,132,3,0,1,1
135,0.31,7,133,5,0,1,1
136,0.1,6,283,4,1,1,1
137,0.42,2,129,3,0,1,1
138,0.74,4,249,5,0,1,1
139,0.73,5,257,5,0,1,1
140,0.09,6,245,4,0,1,1
141,0.45,2,155,3,0,1,1
142,0.11,6,256,4,0,1,1
143,0.37,2,152,3,0,1,1
144,0.84,4,267,5,0,1,1
145,0.41,2,151,3,0,1,1
146,0.76,4,239,5,0,1,1
147,0.11,6,306,4,0,1,1
148,0.84,4,263,5,1,1,1
149,0.39,2,147,3,0,1,1
150,0.11,6,278,4,0,1,1
151,0.45,2,154,3,0,1,1
152,0.37,2,143,3,0,1,1
153,0.4,2,155,3,0,1,1
154,0.39,2,160,3,0,1,1
155,0.11,6,304,4,0,1,1
156,0.83,5,240,5,0,1,1
157,0.11,6,305,4,0,1,1
158,0.39,2,136,3,0,1,1
159,0.45,2,132,3,0,1,1
160,0.1,7,301,4,0,1,1
161,0.9,5,243,6,0,1,1
162,0.45,2,147,3,0,1,1
163,0.79,5,239,5,0,1,1
164,0.9,5,260,5,0,1,1
165,0.11,7,296,4,0,1,1
166,0.43,2,129,3,0,1,1
167,0.31,5,132,5,0,1,1
168,0.32,2,135,5,0,1,1
169,0.45,2,158,3,0,1,1
170,0.81,4,259,5,0,1,1
171,0.41,2,160,3,0,1,1
172,0.11,7,278,4,0,1,1
173,0.1,6,284,4,0,1,1
174,0.7,2,274,4,0,1,1
175,0.54,4,164,2,0,1,1
176,0.41,2,148,3,0,1,1
177,0.38,2,140,3,0,1,2
178,0.37,2,127,3,0,1,2
179,0.11,6,308,5,0,1,2
180,0.4,2,146,3,0,1,2
181,0.1,6,261,4,0,1,2
182,0.89,5,257,5,0,1,2
183,0.11,6,285,4,0,1,2
184,0.36,2,141,3,0,1,2
185,0.4,2,127,3,0,1,2
186,0.09,6,297,4,0,1,2
187,0.4,2,143,3,0,1,2
188,0.37,2,152,3,0,1,2
189,0.44,2,156,3,0,1,0
190,0.09,7,283,5,0,1,1
191,0.92,4,226,6,1,1,2
192,0.74,4,232,5,0,1,2
193,0.09,6,249,4,0,1,2
194,0.89,4,275,5,0,1,2
195,0.09,6,304,4,0,1,1
196,0.27,7,278,3,0,1,1
197,0.1,6,287,4,0,1,1
198,0.1,7,285,4,0,1,1
199,0.77,5,226,6,0,1,1
200,0.9,5,259,5,0,1,1
201,0.39,2,135,3,0,1,1
202,0.76,5,219,5,0,1,1
203,0.1,6,256,4,0,1,1
204,0.87,5,254,6,0,1,1
205,0.38,2,153,3,0,1,1
206,0.77,5,228,5,0,1,1
207,0.78,4,228,5,0,1,1
208,0.44,2,128,3,0,1,1
209,0.38,2,153,3,0,1,1
210,0.43,2,156,3,0,1,1
211,0.39,4,294,3,0,1,1
212,0.88,5,219,5,0,1,1
213,0.45,2,153,3,0,1,1
214,0.4,2,151,3,0,1,1
215,0.36,2,155,3,0,1,1
216,0.36,2,158,3,0,1,1
217,0.9,5,245,5,0,1,1
218,0.43,2,131,3,0,1,1
219,0.89,5,225,5,0,1,1
220,0.1,6,286,4,0,1,1
221,0.37,2,135,3,0,1,1
222,0.37,2,153,3,0,1,1
223,0.87,5,252,5,0,1,1
224,0.4,2,149,3,0,1,1
225,0.9,4,258,5,0,1,1
226,0.37,2,158,3,0,1,1
227,0.44,2,149,3,0,1,1
228,0.85,5,236,5,0,1,1
229,0.78,5,239,6,0,1,1
230,0.42,2,159,3,0,1,1
231,0.92,5,255,6,0,1,1
232,0.11,6,244,4,0,1,1
233,0.42,2,134,3,0,1,1
234,0.48,4,270,4,0,1,1
235,0.83,4,255,5,0,1,1
236,0.4,2,151,3,0,1,1
237,0.43,2,135,3,0,1,1
238,0.43,2,146,3,0,1,1
239,0.1,7,254,4,0,1,1
240,0.1,7,289,4,0,1,1
241,0.37,2,156,3,0,1,1
242,0.38,2,156,3,0,1,1
243,0.4,2,128,3,0,1,1
244,0.89,5,275,5,0,1,1
245,0.45,2,155,3,0,1,1
246,0.37,2,159,3,0,1,1
247,0.46,2,148,3,0,1,1
248,0.87,4,228,5,0,1,1
249,0.11,6,298,4,0,1,1
250,0.79,5,261,5,0,1,1
251,0.79,5,254,6,0,1,1
252,0.19,7,192,3,0,1,1
253,0.87,4,248,5,0,1,1
254,0.6,2,258,5,0,1,1
255,0.44,2,156,3,0,1,2
256,0.11,6,266,4,1,1,2
257,0.42,2,156,3,0,1,2
258,0.88,5,232,5,1,1,2
259,0.11,6,287,4,0,1,2
260,0.46,2,154,3,0,1,2
261,0.82,5,263,5,0,1,2
262,0.44,2,131,3,0,1,2
263,0.11,6,260,4,0,1,2
264,0.42,2,139,3,0,1,2
265,0.84,4,251,5,0,1,2
266,0.11,6,286,4,0,1,2
267,0.45,2,129,3,0,1,0
268,0.38,2,156,3,0,1,1
269,0.38,6,139,6,0,1,2
270,0.44,2,127,3,0,1,2
271,0.11,6,251,4,0,1,2
272,0.81,5,270,5,0,1,2
273,0.09,6,296,4,0,1,1
274,0.11,6,254,4,0,1,1
275,0.81,5,238,6,0,1,1
276,0.1,6,267,4,1,1,1
277,0.74,5,229,6,0,1,1
278,0.09,6,254,4,0,1,1
279,0.82,4,233,4,1,1,1
280,0.1,6,268,4,0,1,1
281,0.27,3,301,3,0,1,1
282,0.83,5,267,6,0,1,1
283,0.1,6,289,4,1,1,1
284,0.38,2,144,3,0,1,1
285,0.4,2,148,3,0,1,1
286,0.11,6,306,4,0,1,1
287,0.11,6,292,4,0,1,1
288,0.82,5,232,5,0,1,1
289,0.36,2,137,3,0,1,1
290,0.4,2,128,3,0,1,1
291,0.87,5,231,5,0,1,1
292,0.41,2,146,3,0,1,1
293,0.11,6,308,4,1,1,1
294,0.1,6,253,4,0,1,2
295,0.38,2,146,3,0,1,2
296,0.39,2,156,3,0,1,2
297,0.4,2,147,3,0,1,2
298,0.45,2,136,3,0,1,2
299,0.74,5,249,5,0,1,2
300,0.45,2,151,3,0,1,2
301,0.12,3,278,4,0,1,2
302,0.1,7,250,5,0,1,2
303,0.37,2,127,3,0,1,2
304,0.89,5,255,5,0,1,2
305,0.45,2,135,3,0,1,2
306,0.37,2,149,3,0,1,0
307,0.11,5,287,4,0,1,1
308,0.41,2,145,3,0,1,2
309,0.1,6,285,4,0,1,2
310,0.1,7,305,4,0,1,2
311,0.11,7,300,4,0,1,2
312,0.4,2,139,3,0,1,1
313,0.41,2,130,3,0,1,1
314,0.1,6,268,4,0,1,1
315,0.73,4,245,6,0,1,1
316,0.43,2,135,3,0,1,1
317,0.37,2,153,3,0,1,1
318,0.11,6,276,4,0,1,1
319,0.4,2,130,3,0,1,1
320,0.41,2,153,3,1,1,1
321,0.82,5,244,5,0,1,1
322,0.61,2,253,3,0,1,1
323,0.11,7,287,4,0,1,1
324,0.37,2,131,3,0,1,1
325,0.41,2,135,3,0,1,1
326,0.37,2,157,3,0,1,1
327,0.88,5,262,6,0,1,1
328,0.1,6,266,4,0,1,1
329,0.44,2,148,3,0,1,1
330,0.38,2,140,3,0,1,1
331,0.11,7,302,4,0,1,1
332,0.09,6,271,4,0,1,1
333,0.45,2,145,3,0,1,2
334,0.1,6,290,4,0,1,2
335,0.45,2,151,3,0,1,2
336,0.77,5,266,5,0,1,2
337,0.44,2,140,3,0,1,2
338,0.39,2,142,3,0,1,2
339,0.1,6,246,4,0,1,2
340,0.09,7,308,5,0,1,2
341,0.37,2,141,3,0,1,2
342,0.9,5,232,5,0,1,2
343,0.41,2,143,3,0,1,2
344,0.37,2,155,3,0,1,2
345,0.1,6,278,4,0,1,0
346,0.81,4,253,5,0,1,1
347,0.11,6,282,4,0,1,2
348,0.11,7,264,4,0,1,2
349,0.4,2,149,3,0,1,2
350,0.09,6,304,5,0,1,2
351,0.48,3,219,6,0,1,1
352,0.91,4,262,6,0,1,1
353,0.43,2,135,3,0,1,1
354,0.33,6,219,5,0,1,1
355,0.41,2,136,3,0,1,1
356,0.41,2,154,3,0,1,1
357,0.37,2,149,3,0,1,1
358,0.31,6,135,5,0,1,1
359,0.09,6,275,4,0,1,1
360,0.1,6,290,4,0,1,1
361,0.76,4,263,5,0,1,1
362,0.41,2,145,3,0,1,1
363,0.72,5,267,5,0,1,1
364,0.4,2,141,3,1,1,1
365,0.91,4,235,5,0,1,1
366,0.1,6,258,4,0,1,1
367,0.4,2,131,3,0,1,1
368,0.82,5,243,5,0,1,1
369,0.1,6,266,4,0,1,1
370,0.37,2,142,3,0,1,1
371,0.36,2,135,3,0,1,1
372,0.39,2,141,3,0,1,2
373,0.36,2,142,3,0,1,2
374,0.86,5,254,5,0,1,2
375,0.73,5,262,5,0,1,2
376,0.56,4,296,2,0,1,2
377,0.44,2,158,3,0,1,2
378,0.31,4,238,2,0,1,2
379,0.77,4,231,5,0,1,2
380,0.44,2,156,3,0,1,2
381,0.38,2,145,3,0,1,2
382,0.45,2,144,3,0,1,2
383,0.38,2,159,3,0,1,2
384,0.36,2,156,3,0,1,0
385,0.75,5,256,5,0,1,1
386,0.1,6,298,4,0,1,2
387,0.1,6,247,4,0,1,2
388,0.45,2,157,3,0,1,2
389,0.42,2,154,3,1,1,2
390,0.78,4,253,5,0,1,1
391,0.45,2,148,3,0,1,1
392,0.84,4,261,5,0,1,1
393,0.11,6,282,4,0,1,1
394,0.42,2,133,3,0,1,1
395,0.45,2,128,3,0,1,1
396,0.46,2,139,3,0,1,1
397,0.09,6,293,5,0,1,1
398,0.87,4,265,6,0,1,1
399,0.1,6,250,4,0,1,1
400,0.91,5,251,6,0,1,1
401,0.76,4,246,5,0,1,1
402,0.74,5,275,5,0,1,1
403,0.92,5,240,5,0,1,1
404,0.76,5,245,5,0,1,1
405,0.47,4,254,4,0,1,1
406,0.73,5,241,5,0,1,1
407,0.09,6,257,4,0,1,1
408,0.91,4,246,5,0,1,1
409,0.82,4,233,5,0,1,1
410,0.28,6,218,4,0,1,1
411,0.84,4,262,6,0,1,2
